"REF_DATE","GEO","DGUID","Type of currency","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981-05","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","99.38696898","","","","8"
"1981-06","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","100.21149709","","","","8"
"1981-07","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","100.81579506","","","","8"
"1981-08","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","100.52691004","","","","8"
"1981-09","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","101.11650753","","","","8"
"1981-10","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","100.51799241","","","","8"
"1981-11","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","101.10806725","","","","8"
"1981-12","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","101.47227997","","","","8"
"1982-01","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","101.58379535","","","","8"
"1982-02","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","101.48301955","","","","8"
"1982-03","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","102.60851766","","","","8"
"1982-04","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","102.78016266","","","","8"
"1982-05","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","100.99237917","","","","8"
"1982-06","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","99.82980669","","","","8"
"1982-07","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","100.85454414","","","","8"
"1982-08","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","103.30459556","","","","8"
"1982-09","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","106.32135616","","","","8"
"1982-10","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","107.39443967","","","","8"
"1982-11","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","106.28007204","","","","8"
"1982-12","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","103.31512045","","","","8"
"1983-01","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","105.88209517","","","","8"
"1983-02","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","106.77814332","","","","8"
"1983-03","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","107.34491686","","","","8"
"1983-04","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","107.03343096","","","","8"
"1983-05","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","107.25942816","","","","8"
"1983-06","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","108.04300046","","","","8"
"1983-07","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","108.51015820","","","","8"
"1983-08","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","109.42510162","","","","8"
"1983-09","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","109.49845118","","","","8"
"1983-10","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","108.67132273","","","","8"
"1983-11","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","109.13862571","","","","8"
"1983-12","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","108.91903557","","","","8"
"1984-01","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","109.28845245","","","","8"
"1984-02","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","108.54099324","","","","8"
"1984-03","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","105.39882055","","","","8"
"1984-04","Canada","2016A000011124","Canadian-Dollar Effective Exchange Rate Index (CERI), monthly average","Index, 1992=100","173","units","0","v111666277","1.27","105.09936371","","","","8"
